year,movieid,adj,noun
2006,10093,estranged,father
2007,4688,estranged,father
2014,124905,estranged,father
1980,79823,estranged,husband
1986,31924,estranged,husband
1987,61178,estranged,husband
1994,19155,estranged,husband
1987,82085,estranged,son
1997,43429,estranged,son
2003,11042,estranged,son
2008,14326,estranged,son
2011,39254,estranged,son
2013,134411,estranged,son
2013,129670,estranged,son
2014,253235,estranged,son
2015,241554,estranged,son
2017,271404,estranged,son
2020,613377,eternal,man
1997,39780,evangelistic,father
2010,45132,everyday,guy
2012,80035,everyday,guy
2013,87516,everyday,man
1995,2086,every-day,man
1991,27549,evil,brother
1988,29095,evil,men
1994,43643,evil,men
1976,30788,evil,uncle
1989,11361,evil,uncle
1992,11597,evil,uncle
2004,14442,evil,uncle
1976,42551,ex,husband
1998,1618,ex,man
1981,53074,exceptional,child
2004,693,ex-cia,man
1974,74143,exciting,guy
1972,82465,exclusive,boy
1987,18305,ex-con,brother
2016,338766,ex-con,brother
2014,244509,ex-con,father
1986,11300,ex-con,husband
1977,106876,ex-military,man
2008,8681,ex-spy,father
2000,12509,extraordinary,man
1997,17834,fairy,male
1970,9554,faithful,son
1983,30707,famous,men
2009,19556,famous,men
2001,12149,fanatic,father
1977,42229,fascist,husband
1981,19317,fashion-conscious,brother
2006,9718,fastest,man
1978,31214,father,figure
2021,571468,father,figure
2021,727293,fatherless,boy
2010,39451,favorite,male
2009,21634,favorite,son
1990,10837,favorite,uncle
2012,117691,feared,man
2020,613377,fearful,man
1972,42759,fearless,man
2013,130150,fearsome,man
1986,51257,fed-up,father
1975,91471,fellow,man
1970,1627,feral,boy
1971,59408,fifteen-year-old,boy
2019,491283,fifth,husband
1999,550,fighter,male
2016,408033,first,boy
1979,42164,first,child
1993,41659,first,child
1998,17941,first,child
2002,1957,first,child
2021,739413,first,child
2021,424277,first,child
1975,39282,first,husband
1983,42108,first,husband
1996,12606,first,husband
1970,72881,first,man
1977,66759,first,man
1982,27273,first,man
2018,369972,first,man
1982,41889,firstborn,child
2016,334543,five-year-old,boy
2007,5876,five-year-old,son
1987,6069,flamboyant,man
1994,21029,foetal,child
1984,30438,foolish,son
1994,11593,forgotten,son
1976,64983,former,boyfriend
1993,42580,former,child
1977,5481,former,husband
1986,29355,former,husband
1998,26269,former,husband
2004,10740,former,husband
2000,1597,formidable,father
1994,24795,foster,child
1976,31405,foster,son
1976,31405,foster,son
2016,291870,foul-mouthed,grandfather
1973,26196,framed,boyfriend
2010,41283,free,man
2013,76203,free,man
2011,38543,free,men
1996,31146,free-spirited,man
1979,20813,french,boy
1999,54004,french,boy
2003,1278,french,brother
1989,38695,french,man
2016,377263,french,man
2003,51163,friend,male
1994,9587,friend,male
1999,1443,friend,male
1982,11340,friendly,man
1998,1618,front,man
2016,393457,frustrated,father
2009,22803,frustrated,man
1988,43645,fun-loving,man
1987,801,funny,man
2013,209263,funny,man
1995,397,future,husband
2000,1831,gay,man
2014,298729,gay,man
1970,34377,gay,men
1974,84209,gay,men
1978,4484,gay,men
1981,76821,gay,men
1994,159,gay,men
1987,13446,gay,uncle
2001,12589,genius,boy
1983,23096,gentle,man
2019,515001,german,boy
1999,42881,german,father
1997,9524,german,male
1985,44191,get-nowhere,boy
1985,23614,gifted,boy
2021,438631,gifted,man
2021,823855,global,child
1976,2459,good,father
2003,9582,good,guy
2011,82690,good,guy
2011,50479,good,guy
2012,82690,good,guy
2015,271718,good,guy
1973,21537,good,guy
1982,2644,good,guy
1987,26477,good,guy
1991,22434,good,guy
2008,13652,good,guy
1982,2861,good,husband
1995,21183,good,husband
2014,190859,good,husband
1977,24032,good,man
1981,37765,good,man
1983,236041,good,man
1995,31357,good,man
2003,34196,good,man
1971,11945,good-hearted,child
1995,39767,goofy,man
2010,32856,grade-school,boy
2002,29339,grasping,uncle
1998,9458,gravely,son
1992,51806,great,child
1981,11027,greek,husband
1996,75,green,men
2018,511785,gregarious,dude
1982,16441,grown,man
2007,2082,grown,man
1975,5602,grown-up,son
1986,307020,guilt,guy
2014,240916,guilty,man
1977,106876,gung-ho,man
2001,11090,half,man
2018,297802,half-atlantean,brother
1998,62589,half-breed,son
1998,36647,half-mortal,man
2016,408033,handsome,guy
1970,160610,handsome,man
1976,42234,handsome,man
1984,48482,handsome,man
1996,8866,handsome,man
1997,1902,handsome,man
1997,19601,handsome,man
2002,35265,handsome,man
2002,12112,handsome,man
1988,2210,handsome,men
1977,48346,hapless,husband
1978,48346,hapless,husband
1993,39915,hapless,man
2006,19955,happy,guy
1995,51184,happy-go-lucky,child
2003,17473,happy-go-lucky,guy
1998,1363,hard-living,men
2004,693,hard-to-crack,man
1983,57978,headstrong,man
2017,166426,headstrong,man
2015,238615,healthy,man
1991,159704,heir,male
1985,47908,hen-pecked,son
1994,159,heterosexual,man
1995,56332,high-school,boy
1996,56332,high-school,boy
1976,79194,holy,man
1993,2019,homeless,men
1984,68757,homicidal,boy
2013,152532,homophobic,man
1972,71138,horny,male
1973,5482,hostage,child
1974,5482,hostage,child
2000,10637,hostile,men
2012,84199,hot,boyfriend
2018,454983,hottest,boy
1992,13225,human,boy
2010,51739,human,boy
2002,10996,human,brother
2018,407436,human,child
2009,1450,human,father
1987,21453,human,male
2003,15394,humorous,man
2004,11025,hunkalicious,guy
2012,64635,hunted,man
2013,170354,ignorant,boy
1997,11975,ill,boy
1972,80841,ill,brother
1973,80841,ill,brother
1982,27150,ill,man
2013,158445,ill,man
1998,9458,ill,son
1971,14257,illegitimate,child
1978,80507,illegitimate,son
1978,108016,illegitimate,son
1993,46828,illegitimate,son
1997,17139,illegitimate,son
1995,48750,illiterate,man
1992,47648,illiterate,son
2002,245,imaginary,son
1992,11139,imaginative,boy
1985,18763,impaired,brother
1993,1587,impaired,brother
2002,13098,impressionable,man
2003,10009,impulsive,boy
1971,42514,inattentive,husband
1995,40156,incestuous,father
1994,10462,incompetent,son
1976,11482,inconspicuous,man
2012,87827,indian,boy
2016,334543,indian,boy
2020,617708,indignant,man
1984,68946,inept,father
2019,525661,infamous,man
2015,312831,infant,child
1987,40962,infant,son
1994,18670,infant,son
2005,10214,infant,son
1978,29530,influential,men
2017,336000,ingenious,father
1986,26725,injured,man
1970,77165,innocent,man
1971,21242,innocent,man
1985,68,innocent,man
2009,16258,innocent,man
1970,62843,innocent,men
2006,34588,insensitive,man
1974,40435,inside,man
1975,40435,inside,man
1999,550,insomniac,salesman
1970,26525,intellectual,boy
1989,41946,intellectual,son
1990,46959,intelligent,child
1998,9821,intelligent,guy
2005,11604,intelligent,man
2020,526007,intelligent,man
2003,13156,introverted,boy
1977,37258,inwardly-timid,father
1997,56783,irascible,father
1990,21433,irresistible,man
1994,24795,irresponsible,father
1983,2304,isolated,man
1996,14553,italian,boy
1999,10368,italian,boy
1978,151024,italian,male
1970,8416,italian,man
2001,43557,italian,men
1979,105667,jamaican,man
2005,1904,japanese,child
1992,16314,japanese,grandfather
2016,291351,japanese,man
1970,64719,japanese,men
1994,34152,jazz-musician,husband
1981,58403,jealous,boyfriend
1988,39422,jealous,boyfriend
1990,24249,jealous,boyfriend
1987,16620,jealous,brother
1970,54283,jealous,husband
1980,52877,jealous,husband
1981,31921,jealous,husband
1986,32060,jewish,boy
1990,8996,jewish,boy
1993,57250,jewish,boy
2000,48130,jewish,boy
1975,108703,jewish,boy
1970,92283,jewish,man
1974,21489,jewish,man
1976,58925,jewish,man
1979,583,jewish,man
2005,340,jewish,man
1987,39929,jilted,boyfriend
2009,15472,journalist,male
2020,545609,kidnapped,son
1972,49361,killings,child
1996,13997,klutzy,brother
1972,30901,knife-wielding,man
1989,31863,korean,man
2010,57361,korean,man
2013,116741,laid-off,men
2001,10646,last,man
2004,613,last,man
2009,24056,last,man
2013,199534,last,man
1975,87774,late,brother
1970,42569,late,father
1970,42596,late,father
1977,56132,late,father
1979,197467,late,father
1992,11597,late,father
1992,11790,late,father
1993,21845,late,father
1998,18937,late,father
2003,10929,late,father
2011,44826,late,father
2011,79707,late,father
2018,497814,late,father
2020,612706,late,father
1988,4281,late,husband
2000,2360,late,husband
2007,6023,late,husband
1973,93289,lazy,guy
1983,56784,lazy,man
1992,26670,lead,male
2003,1088,lead,male
2012,142320,leading,man
1980,39415,leather-clad,boy
2005,9813,lecherous,father
1983,232,legendary,brother
2001,5764,legendary,father
2005,74,less-than-perfect,father
1990,71853,libidinous,men
2013,209263,like-minded,man
1970,98491,little,boy
1971,11945,little,boy
1974,166709,little,boy
1984,68757,little,boy
1989,22611,little,boy
1991,41789,little,boy
1994,14334,little,boy
1998,45242,little,boy
1998,24858,little,boy
2000,1831,little,boy
2006,4257,little,boy
2015,256962,little,boy
2019,484437,little,boy
1970,119614,little,brother
1987,34101,little,brother
2000,327,little,brother
2000,92208,little,brother
2010,37950,little,brother
2010,53457,little,brother
2011,60307,little,brother
2012,82679,little,brother
2016,345911,little,brother
2020,542224,little,brother
1992,87321,little,child
1973,62867,little,guy
1973,62867,little,guy
1974,30576,little,man
2006,21427,little,man
1978,11055,little,son
1996,10546,little,son
2002,12448,little,son
1977,14741,live-in,boyfriend
1971,11945,lively,boy
1985,11532,living,boy
2005,4348,living,gentleman
1991,30815,loathsome,man
1991,17474,local,boy
1991,20978,local,boy
2001,26602,local,boy
2018,395841,local,boy
1985,15982,local,boy
2015,320007,local,guy
2010,43947,local,rowdy
2010,43947,local,male
1993,713,local,man
2006,1581,local,man
1972,42476,lonely,boy
1977,14302,lonely,boy
1982,23805,lonely,boy
1987,14499,lonely,boy
1992,49956,lonely,boy
