year,movieid,adj,noun
2009,37707,deformed,female
1970,64576,delinquent,female
1981,9725,demented,mother
1975,39988,demented,woman
1987,21453,demon,female
1981,70927,dependable,girl
2007,9963,depressed,housewife
1970,194485,depressed,woman
1995,11220,depressed,woman
2017,425591,depressed,woman
2017,460846,desperate,girl
1999,30943,desperate,mother
1975,91845,desperate,woman
1988,47817,desperately,mother
1981,225,detained,wife
1995,1710,detective,female
2015,306745,detective,girlfriend
2016,342737,determined,mother
2017,446791,devoted,mother
2014,136835,devoted,wife
1995,9344,different,girl
1993,43636,different,woman
2017,373569,different,woman
2018,361292,directors,female
1970,122271,disabled,sister
1971,122271,disabled,sister
1977,61642,discontented,wife
1995,98514,dissatisfied,housewife
1977,63318,dissimilar,woman
1981,49959,distant,mother
2002,9685,distant,mother
2002,18808,distressed,woman
1971,27439,disturbed,woman
1975,82224,disturbed,woman
2014,193612,disturbed,woman
1991,23438,diving,girl
1981,96966,divorced,mother
1982,72574,divorced,mother
1985,34322,divorced,mother
1986,70966,divorced,mother
1991,20978,divorced,mother
1998,9441,divorced,mother
2005,11637,divorced,mother
2018,535437,divorced,mother
2020,625568,divorced,mother
1975,186365,do,woman
1993,2625,doctor,female
2010,35558,down-to-earth,girl
1984,66091,dowry-less,girl
1995,14785,driven,woman
2019,537915,dutiful,daughter
2012,90369,dying,girl
2007,13159,dysfunctional,mother
2013,152737,dysfunctional,woman
1989,11352,earthly,girlfriend
1973,31587,earthy,woman
2004,10361,eccentric,girl
1988,31083,eccentric,grandmother
1992,32517,eccentric,wife
1986,32058,eccentric,woman
1999,1641,eccentric,woman
2001,3640,eight-year-old,daughter
2009,24238,eight-year-old,girl
2010,42296,eight-year-old,girl
1989,52794,elderly,woman
1993,52873,elderly,woman
1974,38446,eldest,daughter
1982,80587,eldest,daughter
1993,19657,eldest,daughter
1996,41240,eldest,daughter
2019,157433,eldest,daughter
2020,337401,eldest,daughter
1981,31921,elegant,wife
1977,83834,eleven-year-old,daughter
2010,39210,eleven-year-old,daughter
1992,34334,eleven-year-old,girl
1976,2459,elusive,lady
1976,37774,elusive,woman
1994,13701,elusive,woman
2008,14197,elusive,woman
1977,67744,embittered,daughter
2010,51991,emotional,woman
2006,9794,employee,female
2008,12085,employee,female
1995,880,empowered,woman
1999,10557,english,mother
1970,51992,english,woman
2018,347866,enigmatic,sister
1978,50774,envious,sister
1992,56381,epileptic,girl
1993,56381,epileptic,girl
2011,50217,estranged,aunt
2001,36243,estranged,daughter
